,County Code,Site Name,Site Code,State,County,City,Latitude,Longitude,Average PM 2.5,Median PM 2.5,Standard Deviation,Date of Last Change
0,031,Kooker Park,0032,Florida,Duval,Jacksonville,30.356339,-81.635396,8.629825,7.0,5.535211,2018-09-10
5,031,Mandarin,0098,Florida,Duval,Jacksonville,30.135797,-81.633981,6.347899,5.6,3.317592,2020-01-08
6,031,Sunny Acres,0099,Florida,Duval,Jacksonville,30.354722,-81.547778,6.21,6.0,2.033572,2019-02-19
10,031,Pepsi Place,0108,Florida,Duval,Jacksonville,30.262778,-81.606833,8.734943,8.0,3.812126,2019-02-19
