,County Code,Site Name,Site Code,State,County,City,Latitude,Longitude,Average PM 2.5,Median PM 2.5,Standard Deviation,Date of Last Change
1,031,DENVER - CAMP,0002,Colorado,Denver,Denver,39.751184,-104.987625,8.418106,7.4,5.186379,2019-01-15
11,031,DENVER - NJH-E,0013,Colorado,Denver,Denver,39.738578,-104.939925,7.557877,6.6,4.352576,2019-01-15
22,031,La Casa,0026,Colorado,Denver,Denver,39.77949,-105.00518,7.659218,6.8,4.827983,2019-01-15
23,031,I-25,0027,Colorado,Denver,Denver,39.73217,-105.0153,8.274474,7.6,4.554381,2019-04-15
24,031,Globeville,0028,Colorado,Denver,Denver,39.7861,-104.9886,9.122965,7.7,5.475588,2019-01-15
