,County Code,Site Name,Site Code,State,County,City,Latitude,Longitude,Average PM 2.5,Median PM 2.5,Standard Deviation,Date of Last Change
0,201,Houston Aldine,0024,Texas,Harris,Houston,29.901036,-95.326137,9.927586,8.9,5.616198,2019-05-28
11,201,Baytown,0058,Texas,Harris,Baytown,29.770698,-95.031232,9.157558,7.9,5.220648,2019-03-28
29,201,Houston East,1034,Texas,Harris,Houston,29.767997,-95.220582,10.98484,10.2,5.222332,2020-05-13
30,201,Clinton,1035,Texas,Harris,Houston,29.733726,-95.257593,10.631034,9.9,5.61668,2019-03-27
32,201,Houston Deer Park #2,1039,Texas,Harris,Deer Park,29.670025,-95.128508,8.620536,7.2,5.376461,2019-03-27
39,201,Houston North Loop,1052,Texas,Harris,Houston,29.81453,-95.38769,9.787288,9.2,4.478563,2019-03-27
