,County Code,Site Name,Site Code,State,County,City,Latitude,Longitude,Average PM 2.5,Median PM 2.5,Standard Deviation,Date of Last Change
0,025,BOSTON KENMORE SQ,0002,Massachusetts,Suffolk,Boston,42.348873,-71.097163,5.645263,5.5,3.361635,2019-03-27
4,025,DUDLEY SQUARE ROXBURY,0042,Massachusetts,Suffolk,Boston,42.3295,-71.0826,8.745317,7.8,4.253526,2019-08-06
5,025,NORTH END SITE CENTRAL ARTERY,0043,Massachusetts,Suffolk,Boston,42.3631,-71.0543,8.449451,7.4,3.977056,2019-03-20
6,025,VON HILLERN ST,0044,Massachusetts,Suffolk,Boston,42.325186,-71.056061,10.175652,9.8,4.297801,2019-08-07
